"","country","year","y","y_bin","x1","x2","x3","opinion","time","treated","did"
"35","D",1994,3882478336,1,0.382070004940033,1.56830108165741,-1.16538667678833,"Disag",1,0,0
"36","D",1995,8827006976,1,0.242085799574852,1.54122149944305,-0.184131011366844,"Agree",1,0,0
"37","D",1996,5782000128,1,0.486366778612137,1.74233913421631,-0.0373145267367363,"Str disag",1,0,0
"38","D",1997,5090524160,1,0.359425991773605,1.87428653240204,0.0878679528832436,"Str agree",1,0,0
"39","D",1998,1850565248,1,0.232203513383865,1.59530210494995,0.0724754706025124,"Disag",1,0,0
"40","D",1999,-2025476864,0,-0.0799889639019966,1.70479726791382,0.558432996273041,"Str agree",1,0,0
"41","E",1990,1342787840,1,0.452867150306702,1.72840261459351,0.5970578789711,"Str disag",0,1,0
"42","E",1991,2296009472,1,0.419040322303772,1.70684003829956,0.793135344982147,"Str agree",0,1,0
"43","E",1992,1737627776,1,0.38521346449852,1.68527746200562,0.989212810993195,"Agree",0,1,0
"44","E",1993,113973136,1,-0.244287729263306,1.64928352832794,1.22413277626038,"Str agree",0,1,0
"45","E",1994,260098048,1,1.39113998413086,2.53027653694153,-0.526201367378235,"Str disag",1,1,1
"46","E",1995,-7863482880,0,0.319685578346252,1.18905520439148,-0.484253704547882,"Agree",1,1,1
"47","E",1996,3520491520,1,0.610976815223694,1.48452770709991,-0.978955090045929,"Agree",1,1,1
"48","E",1997,5234565120,1,0.717614948749542,1.55446195602417,-0.988636612892151,"Str disag",1,1,1
"49","E",1998,344746176,1,0.696138262748718,1.7010406255722,-0.089652456343174,"Disag",1,1,1
"50","E",1999,243920688,1,0.606620669364929,1.61190402507782,-0.0892988443374634,"Str disag",1,1,1
"51","F",1990,1342787840,1,-0.567574858665466,-0.34667095541954,1.25841927528381,"Str agree",0,1,0
"52","F",1991,3560401920,1,0.159745782613754,-0.464118212461472,0.326652973890305,"Str disag",0,1,0
"53","F",1992,3192281088,1,0.887066423892975,-0.581565499305725,-0.605113327503204,"Agree",0,1,0
"54","F",1993,8941232128,1,0.532417953014374,-0.755323767662048,-0.511575877666473,"Agree",0,1,0
"55","F",1994,8124504576,1,0.872600138187408,-0.711443066596985,0.205702692270279,"Str agree",1,1,1
"56","F",1995,491740096,1,0.919352293014526,-0.369744062423706,-0.0129275480285287,"Str agree",1,1,1
"57","F",1996,3497164544,1,1.39689230918884,-0.360140591859818,0.678676426410675,"Str agree",1,1,1
"58","F",1997,4764803072,1,0.986886084079742,-0.359090179204941,0.242261737585068,"Str agree",1,1,1
"59","F",1998,-4671723520,0,0.788309097290039,-0.75565242767334,0.733478009700775,"Agree",1,1,1
"60","F",1999,6349319168,1,0.279386967420578,-0.460167914628983,1.17317199707031,"Disag",1,1,1
"61","G",1990,1342787840,1,0.944881737232208,-1.51501512527466,1.45265734195709,"Str disag",0,1,0
"62","G",1991,-1518985728,0,1.09872829914093,-1.46147167682648,1.43964469432831,"Agree",0,1,0
"63","G",1992,1912769920,1,1.2525749206543,-1.4079282283783,1.42663204669952,"Str agree",0,1,0
"64","G",1993,1345690240,1,0.762764513492584,-1.35193145275116,1.85448634624481,"Str disag",0,1,0
"65","G",1994,2793515008,1,1.20645558834076,-1.32521748542786,2.23653030395508,"Str disag",1,1,1
"66","G",1995,1323696384,1,1.08718645572662,-1.40981674194336,2.82980847358704,"Str disag",1,1,1
"67","G",1996,254524176,1,0.781075477600098,-1.32799959182739,4.27822399139404,"Str agree",1,1,1
"68","G",1997,3297033216,1,1.25787949562073,-1.57736670970917,4.58732557296753,"Disag",1,1,1
"69","G",1998,3011820800,1,1.24277663230896,-1.60121774673462,6.11376190185547,"Disag",1,1,1
"70","G",1999,3296283392,1,1.23420023918152,-1.62176144123077,7.16892194747925,"Disag",1,1,1
